scalerank,labelrank,namealt,nameascii,sov0name,adm0name,latitude,longitude,pop_max,rank_max,min_zoom
"8","7",,Banska Bystrica,Slovakia,Slovakia,48.73329022120,19.14998327500,"82336","8",7.0
"8","7",,Trnava,Slovakia,Slovakia,48.36659425770,17.60000036490,"69785","8",7.0
"8","8",,Rezekne,Latvia,Latvia,56.50002545080,27.31656489940,"38340","7",7.0
"8","8",,Panevezys,Lithuania,Lithuania,55.74002016100,24.37002640660,"127405","9",7.0
"8","8",,Siauliai,Lithuania,Lithuania,55.93863852860,23.32502559280,"133528","9",7.0
"8","5",,Najran,Saudi Arabia,Saudi Arabia,17.50653993630,44.13155920290,"369609","10",7.0
"8","5",,Al Quwayiyah,Saudi Arabia,Saudi Arabia,24.07371014300,45.28063635130,"8712","5",7.0
"8","5",,Al Hillah,Saudi Arabia,Saudi Arabia,23.48945639950,46.75636022830,"594605","11",7.0
"8","5",,Al Mubarraz,Saudi Arabia,Saudi Arabia,25.42905377100,49.56590449910,"298562","10",7.0
"8","5",,Al-Qatif,Saudi Arabia,Saudi Arabia,26.51963319800,50.01151037480,"368892","10",7.0
"8","5",Dhahran,Az Zahran,Saudi Arabia,Saudi Arabia,26.29143007300,50.15832311890,"97446","8",7.0
"8","2",,Parachinar,Pakistan,Pakistan,33.89918275860,70.10082678110,"55685","8",7.0
"8","2",,Sialkote,Pakistan,Pakistan,32.52001629540,74.56003780000,"477396","10",7.0
"8","2",,Sheikhu Pura,Pakistan,Pakistan,31.71998760890,73.98999507540,"361303","10",7.0
"8","2",,Gujrat,Pakistan,Pakistan,32.57998679510,74.08001542040,"301506","10",7.0
"8","2",,Sahiwal,Pakistan,Pakistan,30.67173117980,73.11180578500,"235695","10",7.0
"8","2",,Chiniot,Pakistan,Pakistan,31.71998760890,72.97997920620,"201781","10",7.0
"8","2",,Rahim Yar Khan,Pakistan,Pakistan,28.42024070130,70.29518184290,"353203","10",7.0
"8","8",,Tokmak,Kyrgyzstan,Kyrgyzstan,42.82987794910,75.28459305720,"112860","9",7.0
"8","8",,Kara Balta,Kyrgyzstan,Kyrgyzstan,42.83062725730,73.88566035860,"74133","8",7.0
"8","8",,Cholpon Ata,Kyrgyzstan,Kyrgyzstan,42.65133587550,77.08107254930,"18595","6",7.0
"8","8",,Naryn,Kyrgyzstan,Kyrgyzstan,41.42634604800,75.99106156300,"52300","8",7.0
"8","8",,Kok Yangak,Kyrgyzstan,Kyrgyzstan,41.03071128240,73.20575353890,"15000","6",7.0
"8","2",,Mansehra,Pakistan,Pakistan,34.34179140120,73.19681351610,"66486","8",7.0
"8","2",,Kohat,Pakistan,Pakistan,33.60268922830,71.43268347060,"343027","10",7.0
"8","2",,Abbottabad,Pakistan,Pakistan,34.14950339660,73.19950069060,"1183647","12",7.0
"8","2",,Mardan,Pakistan,Pakistan,34.20004294740,72.03998490280,"300424","10",7.0
"8","6",,Lalitpur,Nepal,Nepal,27.66661745100,85.33333369850,"337785","10",7.0
"8","6",,Hetauda,Nepal,Nepal,27.41668438620,85.03335200900,"232334","10",7.0
"8","8",,Penonome,Panama,Panama,8.50998313286,-80.35998925950,"28766","7",7.0
"8","8",,Chitre,Panama,Panama,7.97001609185,-80.42003727390,"44082","7",7.0
"8","8",,Jaque,Panama,Panama,7.51895835259,-78.16601465020,"1357","3",7.0
"8","8",,Prizren,Kosovo,Kosovo,42.22932029120,20.75009232450,"171464","9",7.0
"8","8",Al-Ahmadi,Al Ahmadi,Kuwait,Kuwait,29.07694480290,48.08377274450,"68763","8",7.0
"8","8",Al-Jahrah,Al Jahra,Kuwait,Kuwait,29.33747153630,47.65806229530,"194193","9",7.0
"8","8",,Bocas del Toro,Panama,Panama,9.33535008368,-82.24747069900,"9883","5",7.0
"8","8",,Almirante,Panama,Panama,9.30001242974,-82.39996810070,"8114","5",7.0
"8","2",Majkop,Maykop,Russia,Russia,44.60997601220,40.12002111690,"158451","9",7.0
"8","2",,Mozdok,Russia,Russia,43.75431764640,44.65436966840,"45702","7",6.1
"8","2",,Georgievsk,Russia,Russia,44.15990012520,43.46994584020,"72649","8",6.1
"8","2",,Pyatigorsk,Russia,Russia,44.07995668440,43.09002071000,"142865","9",6.1
"8","2",,Kislovodsk,Russia,Russia,43.90996706040,42.72001745480,"132771","9",7.0
"8","2",,Nevinnomyssk,Russia,Russia,44.62005291650,41.95003861370,"134380","9",7.0
